dataset,source_column,output_column
vdem,country_name,vdem__country_name
vdem,country_id,vdem__country_id
vdem,historical_date,vdem__historical_date
vdem,project,vdem__project
vdem,historical,vdem__historical
vdem,histname,vdem__histname
vdem,codingstart,vdem__codingstart
vdem,codingend,vdem__codingend
vdem,codingstart_contemp,vdem__codingstart_contemp
vdem,codingend_contemp,vdem__codingend_contemp
vdem,codingstart_hist,vdem__codingstart_hist
vdem,codingend_hist,vdem__codingend_hist
vdem,gapstart1,vdem__gapstart1
vdem,gapstart2,vdem__gapstart2
vdem,gapstart3,vdem__gapstart3
vdem,gapend1,vdem__gapend1
vdem,gapend2,vdem__gapend2
vdem,gapend3,vdem__gapend3
vdem,gap_index,vdem__gap_index
vdem,COWcode,vdem__cowcode
vdem,v2x_polyarchy,vdem__v2x_polyarchy
vdem,v2x_polyarchy_codelow,vdem__v2x_polyarchy_codelow
vdem,v2x_polyarchy_codehigh,vdem__v2x_polyarchy_codehigh
vdem,v2x_polyarchy_sd,vdem__v2x_polyarchy_sd
vdem,v2x_libdem,vdem__v2x_libdem
vdem,v2x_libdem_codelow,vdem__v2x_libdem_codelow
vdem,v2x_libdem_codehigh,vdem__v2x_libdem_codehigh
vdem,v2x_libdem_sd,vdem__v2x_libdem_sd
vdem,v2x_partipdem,vdem__v2x_partipdem
vdem,v2x_partipdem_codelow,vdem__v2x_partipdem_codelow
vdem,v2x_partipdem_codehigh,vdem__v2x_partipdem_codehigh
vdem,v2x_partipdem_sd,vdem__v2x_partipdem_sd
vdem,v2x_delibdem,vdem__v2x_delibdem
vdem,v2x_delibdem_codelow,vdem__v2x_delibdem_codelow
vdem,v2x_delibdem_codehigh,vdem__v2x_delibdem_codehigh
vdem,v2x_delibdem_sd,vdem__v2x_delibdem_sd
vdem,v2x_egaldem,vdem__v2x_egaldem
vdem,v2x_egaldem_codelow,vdem__v2x_egaldem_codelow
vdem,v2x_egaldem_codehigh,vdem__v2x_egaldem_codehigh
vdem,v2x_egaldem_sd,vdem__v2x_egaldem_sd
vdem,v2x_api,vdem__v2x_api
vdem,v2x_api_codelow,vdem__v2x_api_codelow
vdem,v2x_api_codehigh,vdem__v2x_api_codehigh
vdem,v2x_api_sd,vdem__v2x_api_sd
vdem,v2x_mpi,vdem__v2x_mpi
vdem,v2x_mpi_codelow,vdem__v2x_mpi_codelow
vdem,v2x_mpi_codehigh,vdem__v2x_mpi_codehigh
vdem,v2x_mpi_sd,vdem__v2x_mpi_sd
vdem,v2x_freexp_altinf,vdem__v2x_freexp_altinf
vdem,v2x_freexp_altinf_codelow,vdem__v2x_freexp_altinf_codelow
vdem,v2x_freexp_altinf_codehigh,vdem__v2x_freexp_altinf_codehigh
vdem,v2x_freexp_altinf_sd,vdem__v2x_freexp_altinf_sd
vdem,v2x_frassoc_thick,vdem__v2x_frassoc_thick
vdem,v2x_frassoc_thick_codelow,vdem__v2x_frassoc_thick_codelow
vdem,v2x_frassoc_thick_codehigh,vdem__v2x_frassoc_thick_codehigh
vdem,v2x_frassoc_thick_sd,vdem__v2x_frassoc_thick_sd
vdem,v2x_suffr,vdem__v2x_suffr
vdem,v2xel_frefair,vdem__v2xel_frefair
vdem,v2xel_frefair_codelow,vdem__v2xel_frefair_codelow
vdem,v2xel_frefair_codehigh,vdem__v2xel_frefair_codehigh
vdem,v2xel_frefair_sd,vdem__v2xel_frefair_sd
vdem,v2x_elecoff,vdem__v2x_elecoff
vdem,v2x_liberal,vdem__v2x_liberal
vdem,v2x_liberal_codelow,vdem__v2x_liberal_codelow
vdem,v2x_liberal_codehigh,vdem__v2x_liberal_codehigh
vdem,v2x_liberal_sd,vdem__v2x_liberal_sd
