iso3,year,A,G,M,P,S_norm,decline_norm,risk_score,risk_band,guardrail_breach,alignment_low,tipping_zone,percolation_risk,shock_high,decline_high
AFG,2020,0.31373353095085027,0.3194751017736518,0.6867382397178569,0.46292957974128024,0.4812857142857143,0.0,0.9229208836910003,high,True,False,False,False,True,False
AFG,2021,0.19905666127150595,0.263733339083365,0.6867382397178569,0.46292957974128024,0.4107142857142857,0.0,0.9315525886035165,high,True,True,True,False,True,False
AFG,2022,0.12014304409062733,0.16401736697953403,0.6867382397178569,0.46292957974128024,0.44899999999999995,0.7662613567554821,0.9684888956330503,high,True,True,True,False,True,True
AFG,2023,0.10696117595180255,0.16152454798192412,0.6867382397178569,0.46292957974128024,0.4524285714285714,0.5456248319181622,0.9632657447692807,high,True,True,True,False,True,True
AFG,2024,0.5240976685514991,0.11069050892236802,0.6867382397178569,0.46292957974128024,0.37142857142857144,0.5456248319181622,0.9454073776655103,high,True,False,False,False,True,True
AFG,2025,0.5240976685514991,0.5233522708238927,0.6867382397178569,0.46292957974128024,0.19042857142857142,0.364528302380288,0.8989469308104496,high,False,False,False,False,False,True
AFG,2026,0.5240976685514991,0.5233522708238927,0.6867382397178569,0.46292957974128024,0.19042857142857142,0.0,0.8692058815671038,high,False,False,False,False,False,False
AGO,2020,0.3635552943652904,0.40505995895287594,0.3422540324671957,0.41246144335104057,0.21428571428571427,0.0,0.8677530621362358,high,False,False,False,False,False,False
AGO,2021,0.36566492910274534,0.4128370595762128,0.3422540324671957,0.41246144335104057,0.16671428571428573,0.0,0.8632803098796075,high,False,False,False,False,False,False
AGO,2022,0.3594367693369047,0.39563471801752204,0.3422540324671957,0.41246144335104057,0.16671428571428573,0.016301764757484308,0.8675282415967587,high,False,False,False,False,False,False
AGO,2023,0.34654838550942774,0.3743270405440126,0.3422540324671957,0.41246144335104057,0.16671428571428573,0.04487733278450254,0.8739489635362295,high,False,False,False,False,False,False
AGO,2024,0.5240976685514991,0.39032341123728076,0.3422540324671957,0.41246144335104057,0.16671428571428573,0.04487733278450254,0.8510410309471652,high,False,False,False,False,False,False
AGO,2025,0.5240976685514991,0.5233522708238927,0.3422540324671957,0.41246144335104057,0.19042857142857142,0.07566626267574436,0.8387044935877803,high,False,False,False,False,False,True
AGO,2026,0.5240976685514991,0.5233522708238927,0.3422540324671957,0.41246144335104057,0.19042857142857142,0.0,0.830346828742389,high,False,False,False,False,False,False
ALB,2020,0.5834470143430956,0.5476480370932005,0.5414397593485814,0.48310694260541803,0.18371428571428572,0.0,0.8458152625970271,high,False,False,False,False,False,False
ALB,2021,0.5823113653200034,0.562952537562027,0.5414397593485814,0.48310694260541803,0.19042857142857142,0.0,0.8444882082232974,high,False,False,False,False,False,False
ALB,2022,0.571796517799432,0.5422207174553539,0.5414397593485814,0.48310694260541803,0.19042857142857142,0.04611448337783526,0.8532281284800902,high,False,False,False,False,False,False
ALB,2023,0.5543564065930806,0.5327385882390256,0.5414397593485814,0.48310694260541803,0.21428571428571427,0.07676344337265126,0.8612729530744988,high,False,False,False,False,False,True
ALB,2024,0.5240976685514991,0.5231631071656958,0.5414397593485814,0.48310694260541803,0.2285714285714286,0.07676344337265126,0.8669560558218804,high,False,False,False,False,False,True
ALB,2025,0.5240976685514991,0.5233522708238927,0.5414397593485814,0.48310694260541803,0.19042857142857142,0.11065008900773979,0.8674207125535514,high,False,False,False,False,False,True
ALB,2026,0.5240976685514991,0.5233522708238927,0.5414397593485814,0.48310694260541803,0.19042857142857142,0.0,0.8569055960772849,high,False,False,False,False,False,False
AND,2020,0.5240976685514991,0.5233522708238927,0.6867382397178569,0.46292957974128024,0.19042857142857142,0.0,0.8692058815671038,high,False,False,False,False,False,False
AND,2021,0.5240976685514991,0.5233522708238927,0.6867382397178569,0.46292957974128024,0.19042857142857142,0.0,0.8692058815671038,high,False,False,False,False,False,False
AND,2022,0.5240976685514991,0.5233522708238927,0.6867382397178569,0.46292957974128024,0.19042857142857142,0.0,0.8692058815671038,high,False,False,False,False,False,False
AND,2023,0.5240976685514991,0.5233522708238927,0.6867382397178569,0.46292957974128024,0.19042857142857142,0.0,0.8692058815671038,high,False,False,False,False,False,False
AND,2024,0.5240976685514991,0.5233522708238927,0.6867382397178569,0.46292957974128024,0.19042857142857142,0.0,0.8692058815671038,high,False,False,False,False,False,False
AND,2025,0.5240976685514991,0.5233522708238927,0.6867382397178569,0.46292957974128024,0.19042857142857142,0.0,0.8692058815671038,high,False,False,False,False,False,False
AND,2026,0.5240976685514991,0.5233522708238927,0.6867382397178569,0.46292957974128024,0.19042857142857142,0.0,0.8692058815671038,high,False,False,False,False,False,False
ARE,2020,0.3865887560140274,0.5722281046959786,0.6867382397178569,0.46292957974128024,0.023857142857142858,0.0,0.8679147289673605,high,False,False,False,False,False,False
ARE,2021,0.3700190249530081,0.5626017287189571,0.6867382397178569,0.46292957974128024,0.028571428571428574,0.0,0.8712066971547674,high,False,False,False,False,False,False
ARE,2022,0.3593201529238431,0.5383992967040375,0.6867382397178569,0.46292957974128024,0.028571428571428574,0.10793338629184795,0.8842102120143939,high,False,False,False,False,False,True
ARE,2023,0.36401662448333094,0.5259506986129026,0.6867382397178569,0.46292957974128024,0.03571428571428571,0.05956267931720194,0.8814527445765626,high,False,False,False,False,False,True
ARE,2024,0.5240976685514991,0.5058134371481939,0.6867382397178569,0.46292957974128024,0.03571428571428571,0.05956267931720194,0.8660314262636287,high,False,False,False,False,False,True
ARE,2025,0.5240976685514991,0.5233522708238927,0.6867382397178569,0.46292957974128024,0.19042857142857142,0.023758437732559864,0.8713515804677107,high,False,False,False,False,False,False
ARE,2026,0.5240976685514991,0.5233522708238927,0.6867382397178569,0.46292957974128024,0.19042857142857142,0.0,0.8692058815671038,high,False,False,False,False,False,False
ARG,2020,0.7010357763794313,0.6117229498389578,0.10295109174835329,0.4108621346438359,0.14285714285714285,0.0,0.7506035306108111,high,False,False,False,False,False,False
ARG,2021,0.6867774209227326,0.6014529701765341,0.10295109174835329,0.4108621346438359,0.1142857142857143,0.0,0.7519835159735833,high,False,False,False,False,False,False
ARG,2022,0.6990547885269921,0.6170647614256853,0.10295109174835329,0.4108621346438359,0.2285714285714286,0.00784105905277341,0.7606368719386454,high,False,False,False,False,False,False
ARG,2023,0.7052576044632939,0.6147383164303178,0.10295109174835329,0.4108621346438359,0.17142857142857143,0.0,0.7524532426911706,high,False,False,False,False,False,False
ARG,2024,0.5240976685514991,0.5748264940719923,0.10295109174835329,0.4108621346438359,0.17142857142857143,0.0,0.7913052492097132,high,False,False,False,False,False,False
ARG,2025,0.5240976685514991,0.5233522708238927,0.10295109174835329,0.4108621346438359,0.19042857142857142,0.0,0.8014983272002839,high,False,False,False,False,False,False
ARG,2026,0.5240976685514991,0.5233522708238927,0.10295109174835329,0.4108621346438359,0.19042857142857142,0.0,0.8014983272002839,high,False,False,False,False,False,False
ARM,2020,0.6539973622111444,0.6442843871934838,0.5851874902754005,0.19948061216573518,0.31428571428571433,0.0,0.8142896654941533,high,False,False,False,False,True,False
ARM,2021,0.6421081026345963,0.6334991181887579,0.5851874902754005,0.19948061216573518,0.2571428571428572,0.0,0.8125273874587251,high,False,False,False,False,False,False
ARM,2022,0.6039064264335237,0.5982189083422058,0.5851874902754005,0.19948061216573518,0.19999999999999998,0.19826774048987558,0.8408180256056463,high,False,False,False,False,False,True
ARM,2023,0.595194377537353,0.6011431891860983,0.5851874902754005,0.19948061216573518,0.17142857142857143,0.15516759302311672,0.8345870545580383,high,False,False,False,False,False,True
ARM,2024,0.5240976685514991,0.6019413947638237,0.5851874902754005,0.19948061216573518,0.14285714285714285,0.15516759302311672,0.8417953729020239,high,False,False,False,False,False,True
ARM,2025,0.5240976685514991,0.5233522708238927,0.5851874902754005,0.19948061216573518,0.19042857142857142,0.1856918448137525,0.8585379060003117,high,False,False,False,False,False,True
ARM,2026,0.5240976685514991,0.5233522708238927,0.5851874902754005,0.19948061216573518,0.19042857142857142,0.0,0.8395179234919654,high,False,False,False,False,False,False
ATG,2020,0.5240976685514991,0.5233522708238927,0.6867382397178569,0.46292957974128024,0.19042857142857142,0.0,0.8692058815671038,high,False,False,False,False,False,False
ATG,2021,0.5240976685514991,0.5233522708238927,0.6867382397178569,0.46292957974128024,0.19042857142857142,0.0,0.8692058815671038,high,False,False,False,False,False,False
ATG,2022,0.5240976685514991,0.5233522708238927,0.6867382397178569,0.46292957974128024,0.19042857142857142,0.0,0.8692058815671038,high,False,False,False,False,False,False
ATG,2023,0.5240976685514991,0.5233522708238927,0.6867382397178569,0.46292957974128024,0.19042857142857142,0.0,0.8692058815671038,high,False,False,False,False,False,False
ATG,2024,0.5240976685514991,0.5233522708238927,0.6867382397178569,0.46292957974128024,0.19042857142857142,0.0,0.8692058815671038,high,False,False,False,False,False,False
ATG,2025,0.5240976685514991,0.5233522708238927,0.6867382397178569,0.46292957974128024,0.19042857142857142,0.0,0.8692058815671038,high,False,False,False,False,False,False
ATG,2026,0.5240976685514991,0.5233522708238927,0.6867382397178569,0.46292957974128024,0.19042857142857142,0.0,0.8692058815671038,high,False,False,False,False,False,False
