entity_id,name,iso3,sector_code,sector_label,overlay_tags
wd:Q9584,Honda,JPN,,,
wd:Q904240,Mitsui & Co.,JPN,,,
wd:Q1141123,Rosneft,RUS,,,
wd:Q1584130,Syriatel,SYR,,,
wd:Q1073489,China State Railway Group,CHN,,,"tech_platform,critical_infra"
wd:Q1768969,Pyaterochka,RUS,,,
wd:Q6718487,MTN Syria,SYR,,,
wd:Q741618,China Mobile,CHN,,,telecom
wd:Q483551,Q483551,USA,,,
wd:Q1138452,Dongfeng Motor Corporation,CHN,,,
wd:Q1124351,FAW Group,CHN,,,
wd:Q1368919,Mobile TeleSystems,RUS,,,telecom
wd:Q1807264,The People's Insurance Company (Group) of China Limited,CHN,,,finance
wd:Q4258608,Lenta,RUS,,,
wd:Q1073540,China Telecommunications Corporation,CHN,,,telecom
wd:Q4036922,DNS (store chain),RUS,,,tech_platform
wd:Q2365235,Ozon,RUS,,,
wd:Q6558800,M.video,RUS,,,
wd:Q4409407,Sakhalin Energy,RUS,,,energy
wd:Q1068485,China Unicom,CHN,,,
wd:Q4161561,Dixy,RUS,,,
wd:Q4038791,Fix Price,RUS,,,
wd:Q1684639,Perekryostok,RUS,,,
wd:Q154037,TotalEnergies,FRA,,,
wd:Q319642,Chevron Corporation,USA,,,
wd:Q4340901,O’KEY,RUS,,,
wd:Q15950384,Jinneng Holding Equipment Manufacturing Group,CHN,,,
wd:Q219960,Scania,SWE,,,
wd:Q4481674,Federal Passenger Company,RUS,,,
wd:Q10875850,China National Coal Group,CHN,,,
wd:Q26678,Q26678,DEU,,,
wd:Q467752,Verizon Communications,USA,,,
wd:Q55891502,Irkutsk Oil Company,RUS,,,energy
wd:Q4063654,Q4063654,,,,
wd:Q487292,Allianz SE,DEU,,,
wd:Q740844,Q740844,RUS,,,
wd:Q7570642,Southern and Eastern Norway Regional Health Authority,NOR,,,
wd:Q4531492,Eldorado,RUS,,,
wd:Q9396,Deutsche Telekom,DEU,,,
wd:Q1100424,Pegasus Airlines,TUR,,,"tech_platform,energy"
wd:Q3952867,China National Heavy Duty Truck Group,CHN,,,
wd:Q180432,Emirates,ARE,,,
wd:Q17025517,Jinneng Holding Power Group,CHN,,,critical_infra
wd:Q4386516,RESO-Guarantee,RUS,,,
wd:Q160054,AXA,FRA,,,
wd:Q459477,FedEx,USA,,,
wd:Q106411451,Gold Apple,RUS,,,
wd:Q4043632,Major (Russian company),RUS,,,
wd:Q1376634,Peach,JPN,,,
wd:Q333718,Johnson & Johnson,GBR,,,
wd:Q4462022,LLC Transoil,RUS,,,energy
wd:Q869570,Mediterranean Shipping Company,CHE,,,
wd:Q4056321,Avtomir,RUS,,,
wd:Q7414,The Walt Disney Company,USA,,,
wd:Q3511885,T-Mobile US,USA,,,telecom
wd:Q406645,AirBridgeCargo Airlines,RUS,,,tech_platform
wd:Q4301704,Monetka,RUS,,,
wd:Q7248721,Progressive Corporation,USA,,,
wd:Q113215,Carlsberg Group,DNK,,,
wd:Q247489,Merck & Co.,USA,,,
wd:Q188920,Delta Air Lines,USA,,,tech_platform
wd:Q4322432,New Forwarding Company,RUS,,,
wd:Q12306870,Dansk Landbrugs Grovvareselskab,DNK,,,
wd:Q739720,Sedmoi Kontinent,RUS,,,
wd:Q157062,Unilever,NLD,,,
wd:Q230426,Zurich Insurance Group,CHE,,,finance
wd:Q1618373,Coop Norge SA,NOR,,,
wd:Q1157624,Daimler Truck,DEU,,,tech_platform
wd:Q1065835,UTair Aviation,RUS,,,tech_platform
wd:Q6979886,Nationwide Mutual Insurance Company,USA,,,finance
wd:Q304944,České dráhy,CZE,,,
wd:Q593733,National Iranian Oil Company,IRN,,,energy
wd:Q341100,Česká spořitelna,CZE,,,
wd:Q573266,REWE Group,DEU,,,
wd:Q152051,Bayer,DEU,,,
wd:Q533415,Best Buy,USA,,,
wd:Q3445478,MND,CZE,,,
wd:Q806215,Santander Group,ESP,,,
wd:Q499707,BNP Paribas,FRA,,,
wd:Q632240,Eli Lilly and Company,USA,,,
wd:Q16742113,Kooperativa pojišťovna,CZE,,,
wd:Q158205,Sanofi,FRA,,,
wd:Q10887008,QAF Limited,SGP,,,
wd:Q4504137,Central Suburban Passenger Company,RUS,,,
wd:Q740999,TIAA,USA,,,
wd:Q4139985,Gloria Jeans,RUS,,,
wd:Q1039380,New York Life Insurance Company,USA,,,finance
wd:Q16723302,Yandex Taxi,,,,
wd:Q145168,Dollar General,USA,,,
wd:Q11283119,Generali Česká pojišťovna,CZE,,,
wd:Q7865722,USAA,USA,,,
wd:Q1541079,Komerční banka,CZE,,,finance
wd:Q106684510,Coop,SWE,,,
wd:Q340135,Československá obchodní banka,CZE,,,finance
wd:Q193199,UBS,CHE,,,
wd:Q40993,Porsche,DEU,,,
wd:Q1751278,Azur Air,RUS,,,tech_platform
wd:Q1858300,Nordwind Airlines,RUS,,,tech_platform
wd:Q5061531,Central Norway Regional Health Authority,NOR,,,
wd:Q1853488,Smartwings,CZE,,,
wd:Q1477661,PACCAR,USA,,,
wd:Q5289230,Dollar Tree,USA,,,
wd:Q663596,Gilead Sciences,USA,,,
wd:Q267122,BNSF Railway,USA,,,"tech_platform,critical_infra"
wd:Q2593772,Vympel,RUS,,,
wd:Q28477893,Metrostroy,,,,
wd:Q785943,Staples Inc.,USA,,,
wd:Q12022071,Iveco Czech Republic,CZE,,,
wd:Q267840,Randstad N.V.,,,,
wd:Q20811256,Coca-Cola Europacific Partners,GBR,,,
wd:Q11968665,Felleskjøpet Agri,NOR,,,
wd:Q699532,Boehringer Ingelheim,DEU,,,
wd:Q215392,Norwegian Air Shuttle,NOR,,,tech_platform
wd:Q628397,NPO Mashinostroyeniya,RUS,,,
wd:Q156959,Merck KGaA,DEU,,,
wd:Q14890229,kiwi.com,CZE,,,
wd:Q4425512,Snezhnaya koroleva,RUS,,,
wd:Q11878398,UniCredit Bank Czech Republic and Slovakia,CZE,,,finance
wd:Q58205922,Allianz pojišťovna,CZE,,,
wd:Q3083531,Groupama,FRA,,,
wd:Q8042415,"XPO, Inc.",USA,,,
wd:Q20755644,ČSOB Pojišťovna,CZE,,,
wd:Q1017833,LiAZ,RUS,,,
wd:Q3355552,Biltema,SWE,,,
wd:Q4083066,Q4083066,RUS,,,
wd:Q266572,dm-drogerie markt,DEU,,,
wd:Q163327,Mondragon Corporation,ESP,,,
wd:Q2529830,Vodafone Germany,DEU,,,
wd:Q838929,Amur Shipbuilding Plant,RUS,,,
wd:Q674575,Arla Foods,GBR,,,
wd:Q181912,KLM,,,,
wd:Q708667,MAN Truck & Bus,DEU,,,
wd:Q170614,Ryanair,IRL,,,tech_platform
wd:Q24282966,MONETA Bank,CZE,,,finance
wd:Q666888,Intersport,CHE,,,critical_infra
wd:Q12045462,Pivovary Staropramen,CZE,,,
wd:Q24282825,Raiffeisenbank,CZE,,,"tech_platform,finance"
wd:Q5167707,Obs,NOR,,,
wd:Q27910063,Banka Creditas,CZE,,,finance
wd:Q457503,Globus,DEU,,,
wd:Q249591,Polish State Railways,POL,,,"tech_platform,critical_infra"
wd:Q83835,Swiss Federal Railways,CHE,,,"tech_platform,critical_infra"
wd:Q65091423,Diamondback Energy,USA,,,energy
wd:Q14949324,Česká podnikatelská pojišťovna,CZE,,,
wd:Q12016657,Fio banka,CZE,,,finance
wd:Q2744099,Vertex Pharmaceuticals,USA,,,
wd:Q2392255,Teleperformance,FRA,,,
wd:Q16253487,Hydromash,,,,
wd:Q431077,Mansour Group,,,,
wd:Q12046128,Pojišťovna České spořitelny,CZE,,,
wd:Q698473,Mein Real,DEU,,,
wd:Q56760250,Sony Music,USA,,,
wd:Q4581010,Coop Mega,NOR,,,
wd:Q21349378,PPF Banka,CZE,,,finance
wd:Q762953,Perenco,FRA,,,
wd:Q882871,Stadtwerke München,DEU,,,
wd:Q1566111,HUK-Coburg,DEU,,,
wd:Q230410,Zurich Gruppe Deutschland,DEU,,,
wd:Q668737,Yum! Brands,USA,,,
wd:Q6786143,Matas,DNK,,,
wd:Q30324333,TechnipFMC,GBR,,,
wd:Q680145,Schlecker,DEU,,,
wd:Q10686364,Svitzer,DNK,,,
wd:Q565050,Hamburg Süd,,,,
wd:Q38903,Universal Music Group,,,,
wd:Q794563,Groupe ADP,FRA,,,
wd:Q47099,Grupo Televisa,MEX,,,
wd:Q202210,GameStop,USA,,,
wd:Q795454,Barnes & Noble,USA,,,
wd:Q1202053,Vonovia,DEU,,,
wd:Q156776,Swiss International Air Lines,CHE,,,tech_platform
wd:Q12305436,Carlsberg Danmark,DNK,,,
wd:Q58205936,"NN Životní pojišťovna N.V., pobočka pro Českou republiku",CZE,,,
wd:Q629733,RBC Information Systems,RUS,,,
wd:Q11873534,UPC Czech Republic,CZE,,,
wd:Q790788,Avianca Group,COL,,,
wd:Q187972,Iberia,ESP,,,
wd:Q3429574,Københavns Lufthavne,DNK,,,
wd:Q643578,Fraport,DEU,,,critical_infra
wd:Q10723691,Air Bank,CZE,,,"tech_platform,finance"
wd:Q1164334,DR,DNK,,,
