iso3,overlay,entity_count,coverage_flag
AFG,media,0,missing
AFG,tech_platform,0,missing
AFG,telecom,0,missing
AFG,defense,0,missing
AFG,security,0,missing
AFG,finance,0,missing
AFG,critical_infra,0,missing
AFG,energy,0,missing
AFG,none,2,present
AGO,media,0,missing
AGO,tech_platform,0,missing
AGO,telecom,0,missing
AGO,defense,0,missing
AGO,security,0,missing
AGO,finance,0,missing
AGO,critical_infra,0,missing
AGO,energy,0,missing
AGO,none,7,present
ALB,media,0,missing
ALB,tech_platform,4,present
ALB,telecom,0,missing
ALB,defense,0,missing
ALB,security,0,missing
ALB,finance,0,missing
ALB,critical_infra,0,missing
ALB,energy,0,missing
ALB,none,19,present
AND,media,0,missing
AND,tech_platform,0,missing
AND,telecom,0,missing
AND,defense,0,missing
AND,security,0,missing
AND,finance,0,missing
AND,critical_infra,0,missing
AND,energy,0,missing
AND,none,0,missing
ARE,media,0,missing
ARE,tech_platform,0,missing
ARE,telecom,0,missing
ARE,defense,0,missing
ARE,security,0,missing
ARE,finance,0,missing
ARE,critical_infra,0,missing
ARE,energy,0,missing
ARE,none,4,present
ARG,media,0,missing
ARG,tech_platform,4,present
ARG,telecom,0,missing
ARG,defense,0,missing
ARG,security,0,missing
ARG,finance,0,missing
ARG,critical_infra,1,present
ARG,energy,0,missing
ARG,none,41,present
ARM,media,0,missing
ARM,tech_platform,1,present
ARM,telecom,0,missing
ARM,defense,0,missing
ARM,security,0,missing
ARM,finance,0,missing
ARM,critical_infra,0,missing
ARM,energy,0,missing
ARM,none,23,present
ATG,media,0,missing
ATG,tech_platform,0,missing
ATG,telecom,0,missing
ATG,defense,0,missing
ATG,security,0,missing
ATG,finance,0,missing
ATG,critical_infra,0,missing
ATG,energy,0,missing
ATG,none,0,missing
AUS,media,1,present
AUS,tech_platform,2,present
AUS,telecom,0,missing
AUS,defense,0,missing
AUS,security,0,missing
AUS,finance,0,missing
AUS,critical_infra,1,present
AUS,energy,0,missing
AUS,none,21,present
AUT,media,1,present
AUT,tech_platform,4,present
AUT,telecom,0,missing
AUT,defense,0,missing
AUT,security,0,missing
AUT,finance,0,missing
AUT,critical_infra,0,missing
AUT,energy,0,missing
AUT,none,19,present
AZE,media,0,missing
AZE,tech_platform,5,present
AZE,telecom,0,missing
AZE,defense,0,missing
AZE,security,0,missing
AZE,finance,0,missing
AZE,critical_infra,0,missing
AZE,energy,0,missing
AZE,none,4,present
BDI,media,0,missing
BDI,tech_platform,0,missing
BDI,telecom,0,missing
BDI,defense,1,present
BDI,security,0,missing
BDI,finance,0,missing
BDI,critical_infra,0,missing
BDI,energy,0,missing
BDI,none,7,present
BEL,media,0,missing
BEL,tech_platform,8,present
BEL,telecom,0,missing
BEL,defense,0,missing
BEL,security,0,missing
BEL,finance,0,missing
BEL,critical_infra,0,missing
BEL,energy,0,missing
BEL,none,21,present
BEN,media,0,missing
BEN,tech_platform,1,present
BEN,telecom,0,missing
BEN,defense,0,missing
BEN,security,0,missing
BEN,finance,0,missing
BEN,critical_infra,0,missing
BEN,energy,0,missing
BEN,none,50,present
BFA,media,0,missing
BFA,tech_platform,8,present
BFA,telecom,0,missing
BFA,defense,0,missing
BFA,security,0,missing
BFA,finance,0,missing
BFA,critical_infra,0,missing
BFA,energy,0,missing
BFA,none,16,present
BGD,media,0,missing
BGD,tech_platform,1,present
BGD,telecom,0,missing
BGD,defense,0,missing
BGD,security,0,missing
BGD,finance,0,missing
BGD,critical_infra,0,missing
BGD,energy,0,missing
BGD,none,10,present
BGR,media,0,missing
BGR,tech_platform,5,present
BGR,telecom,0,missing
BGR,defense,0,missing
BGR,security,0,missing
BGR,finance,0,missing
BGR,critical_infra,0,missing
BGR,energy,0,missing
BGR,none,46,present
BHR,media,0,missing
BHR,tech_platform,0,missing
BHR,telecom,0,missing
BHR,defense,0,missing
BHR,security,0,missing
BHR,finance,0,missing
