entity_id,name,country_iso3,entity_type,sector_code,influence_score,rank,revenue_usd,employee_count,years_active
wiki:largest_us_companies_by_revenue:amazon,Amazon,USA,company,,0.8496829480760151,2.0,637959000000.0,1556000.0,
wiki:largest_us_companies_by_revenue:unitedhealth-group,UnitedHealth Group,USA,company,,0.47048093486849274,25.0,400278000000.0,400000.0,
wiki:largest_us_companies_by_revenue:apple,Apple,USA,company,,0.43496864944212316,30.0,391035000000.0,164000.0,
wiki:largest_us_companies_by_revenue:cvs-health,CVS Health,USA,company,,0.4259062201717315,31.0,372809000000.0,259500.0,
wiki:largest_us_companies_by_revenue:alphabet,Alphabet,USA,company,,0.3933134639049211,34.0,350018000000.0,183323.0,
wiki:largest_us_companies_by_revenue:exxon-mobil,Exxon Mobil,USA,company,,0.37955537436400805,36.0,349595000000.0,60900.0,
wiki:largest_uk_companies:shell-plc,Shell plc,,company,,0.3559560566586268,40.0,323183000000.0,103000.0,
wiki:largest_us_companies_by_revenue:mckesson-corporation,McKesson Corporation,USA,company,,0.33479559227746825,45.0,308951000000.0,48000.0,
wiki:largest_us_companies_by_revenue:cencora,Cencora,USA,company,,0.318367864541889,48.0,293959000000.0,44000.0,
wiki:largest_us_companies_by_revenue:jpmorgan-chase,JPMorgan Chase,USA,company,,0.33200908586316025,46.0,278906000000.0,317233.0,
wiki:largest_us_companies_by_revenue:costco-wholesale,Costco Wholesale,USA,company,,0.3076372787390223,51.0,254453000000.0,333000.0,
wiki:largest_us_companies_by_revenue:cigna,Cigna,USA,company,,0.27148945133421176,62.0,247121000000.0,72398.0,
wiki:largest_us_companies_by_revenue:microsoft,Microsoft,USA,company,,0.2862702484025069,58.0,245122000000.0,228000.0,
wiki:largest_france_companies:totalenergies,TotalEnergies,,company,,0.2640799399087572,65.0,237100000000.0,102579.0,
wiki:largest_us_companies_by_revenue:cardinal-health,Cardinal Health,USA,company,,0.24723323406669967,74.0,226827000000.0,48411.0,
wiki:largest_us_companies_by_revenue:chevron,Chevron,USA,company,,0.22125516091792785,81.0,202792000000.0,45298.0,
wiki:largest_us_companies_by_revenue:bank-of-america,Bank of America,USA,company,,0.22845506263548734,78.0,192434000000.0,213193.0,
wiki:largest_us_companies_by_revenue:general-motors,General Motors,USA,company,,0.21756531381963118,83.0,187442000000.0,162000.0,
wiki:largest_us_companies_by_revenue:ford-motor,Ford Motor,USA,company,,0.2159299997451686,85.0,184992000000.0,171000.0,
wiki:largest_us_companies_by_revenue:elevance-health,Elevance Health,USA,company,,0.2000986460193376,92.0,177011000000.0,103679.0,
wiki:largest_us_companies_by_revenue:meta-platforms,Meta Platforms,USA,company,,0.1835347166733727,100.0,164501000000.0,74067.0,
wiki:largest_us_companies_by_revenue:centene,Centene,USA,company,,0.18053456840524368,102.0,163071000000.0,60500.0,
wiki:largest_us_companies_by_revenue:home-depot,Home Depot,USA,company,,0.22126182342306336,80.0,159514000000.0,470100.0,
wiki:largest_us_companies_by_revenue:fannie-mae,Fannie Mae,,company,,0.16375436008518748,113.0,152670000000.0,8200.0,
wiki:largest_italy_companies:enel,Enel,,company,,0.16473593680714524,112.0,147790000000.0,65124.0,
wiki:largest_us_companies_by_revenue:walgreens-boots-alliance,Walgreens Boots Alliance,USA,company,,0.18496208031149183,98.0,147658000000.0,252500.0,
wiki:largest_us_companies_by_revenue:kroger,Kroger,USA,company,,0.20140223045015623,90.0,147123000000.0,409000.0,
wiki:largest_us_companies_by_revenue:phillips-66,Phillips 66,USA,company,,0.1566448642038303,118.0,145496000000.0,13200.0,
wiki:largest_italy_companies:eni,Eni,,company,,0.153493361777369,121.0,140607000000.0,32188.0,
wiki:largest_us_companies_by_revenue:marathon-petroleum,Marathon Petroleum,USA,company,,0.15177577732973876,126.0,140412000000.0,18300.0,
wiki:largest_us_companies_by_revenue:verizon-communications,Verizon Communications,USA,company,,0.15461324589833,120.0,134788000000.0,99600.0,
wiki:largest_us_companies_by_revenue:nvidia,Nvidia,USA,company,,0.14312271258952902,140.0,130497000000.0,36000.0,
wiki:largest_us_companies_by_revenue:goldman-sachs-group,Goldman Sachs Group,USA,company,,0.14037672424509498,144.0,126853000000.0,46500.0,
wiki:largest_us_companies_by_revenue:wells-fargo,Wells Fargo,USA,company,,0.15741068790568763,117.0,125397000000.0,217502.0,
wiki:largest_brazil_companies:petrobras,Petrobras,,company,,0.13769204181009284,150.0,124474000000.0,45149.0,
wiki:largest_us_companies_by_revenue:valero-energy,Valero Energy,USA,company,,0.133328333081498,159.0,123974000000.0,9910.0,
wiki:largest_us_companies_by_revenue:comcast,Comcast,USA,company,,0.15177454390027045,127.0,123731000000.0,182000.0,
wiki:largest_us_companies_by_revenue:state-farm-insurance,State Farm Insurance,USA,company,,0.13848388002279294,149.0,122951000000.0,67381.0,
wiki:largest_us_companies_by_revenue:atandt,AT&T,USA,company,,0.14582879763444734,134.0,122336000000.0,140990.0,
wiki:largest_us_companies_by_revenue:freddie-mac,Freddie Mac,USA,company,,0.13108018412008374,165.0,122052000000.0,8090.0,
wiki:largest_us_companies_by_revenue:humana,Humana,USA,company,,0.13276247689823925,162.0,117761000000.0,65680.0,
wiki:largest_france_companies:axa,AXA,,company,,0.13290785059927857,160.0,109000000000.0,153000.0,
wiki:largest_us_companies_by_revenue:morgan-stanley,Morgan Stanley,USA,company,,0.12319552205150258,176.0,107285000000.0,80478.0,
wiki:largest_us_companies_by_revenue:target,Target,USA,company,,0.16150699607369623,114.0,106566000000.0,440000.0,
wiki:largest_us_companies_by_revenue:stonex-group,StoneX Group,USA,company,,0.10704618099023559,202.0,99888000000.0,4500.0,
wiki:largest_us_companies_by_revenue:tesla,Tesla,USA,company,,0.11787153959324569,187.0,97690000000.0,125665.0,
wiki:largest_mexico_companies:pemex,Pemex,,company,,0.11743489711168446,188.0,96980000000.0,128616.0,
wiki:largest_us_companies_by_revenue:dell-technologies,Dell Technologies,USA,company,,0.11368668820119716,191.0,95567000000.0,108000.0,
wiki:largest_us_companies_by_revenue:pepsico,PepsiCo,USA,company,,0.1326605713130866,163.0,91854000000.0,319000.0,
wiki:largest_us_companies_by_revenue:walt-disney,Walt Disney,USA,company,,0.11974769950669208,182.0,91361000000.0,205040.0,
wiki:largest_us_companies_by_revenue:united-parcel-service,United Parcel Service,USA,company,,0.1376046621136064,151.0,91070000000.0,372180.0,
wiki:largest_us_companies_by_revenue:johnson-and-johnson,Johnson & Johnson,USA,company,,0.10976202873064761,198.0,88821000000.0,138100.0,
wiki:largest_france_companies:lvmh,LVMH,,company,,0.11364381969658856,192.0,88700000000.0,175000.0,
wiki:largest_us_companies_by_revenue:fedex,FedEx,USA,company,,0.13942828270850285,145.0,87693000000.0,422100.0,
wiki:largest_canada_companies:brookfield-corporation,Brookfield Corporation,,company,,0.11892639499761781,183.0,86010000000.0,250000.0,
wiki:largest_italy_companies:assicurazioni-generali,Assicurazioni Generali,,company,,0.10039479689353109,219.0,85750000000.0,82061.0,
wiki:largest_us_companies_by_revenue:archer-daniels-midland,Archer Daniels Midland,USA,company,,0.09593749983555806,224.0,85530000000.0,43213.0,
wiki:largest_spain_companies:repsol,Repsol,,company,,0.09328374467020403,231.0,85000000000.0,24000.0,
wiki:largest_us_companies_by_revenue:procter-and-gamble,Procter & Gamble,USA,company,,0.10138901801558389,216.0,84039000000.0,108000.0,
wiki:largest_us_companies_by_revenue:energy-transfer-partners,Energy Transfer Partners,USA,company,,0.08995663962980055,241.0,82671000000.0,16248.0,
wiki:largest_us_companies_by_revenue:rtx,RTX,USA,company,,0.10634695345033614,203.0,80739000000.0,186000.0,
wiki:largest_us_companies_by_revenue:sysco,Sysco,USA,company,,0.09236891149939642,234.0,78844000000.0,76000.0,
wiki:largest_us_companies_by_revenue:progressive,Progressive,USA,company,,0.08761162417499031,246.0,75372000000.0,66308.0,
wiki:largest_us_companies_by_revenue:american-express,American Express,USA,company,,0.0873180942021864,248.0,74201000000.0,75100.0,
wiki:largest_brazil_companies:jbs-s-a,JBS S.A.,,company,,0.10573576496798219,205.0,72626000000.0,260000.0,
wiki:largest_canada_companies:alimentation-couche-tard,Alimentation Couche-Tard,,company,,0.09285340536968792,232.0,71860000000.0,149000.0,
wiki:largest_us_companies_by_revenue:lockheed-martin,Lockheed Martin,USA,company,,0.08893837987238133,244.0,71043000000.0,121000.0,
wiki:largest_us_companies_by_revenue:metlife,MetLife,USA,company,,0.08061670468601717,264.0,70986000000.0,45000.0,
wiki:largest_us_companies_by_revenue:hca-healthcare,HCA Healthcare,USA,company,,0.10477335097382656,209.0,70603000000.0,271000.0,
wiki:largest_us_companies_by_revenue:prudential-financial,Prudential Financial,USA,company,,0.0792290879694769,269.0,70405000000.0,37936.0,
wiki:largest_us_companies_by_revenue:boeing,Boeing,USA,company,,0.08965367846114074,243.0,66517000000.0,172000.0,
wiki:largest_us_companies_by_revenue:caterpillar,Caterpillar,USA,company,,0.08140773031382596,262.0,64809000000.0,112900.0,
wiki:largest_uk_companies:unilever,Unilever,,company,,0.07678156599359855,279.0,64436000000.0,74000.0,
wiki:largest_us_companies_by_revenue:merck,Merck,USA,company,,0.07649567289768042,281.0,64168000000.0,74000.0,
wiki:largest_us_companies_by_revenue:allstate,Allstate,USA,company,,0.0743860551892477,284.0,64106000000.0,55200.0,
wiki:largest_brazil_companies:banco-ita-unibanco,Banco Itaú Unibanco,,company,,0.07913771155722985,270.0,63884000000.0,101094.0,
wiki:largest_uk_companies:barclays,Barclays,,company,,0.08164710482132659,261.0,63801000000.0,124995.0,
wiki:largest_us_companies_by_revenue:pfizer,Pfizer,USA,company,,0.07667942244464514,280.0,63627000000.0,81000.0,
wiki:largest_us_companies_by_revenue:new-york-life-insurance-company,New York Life Insurance Company,USA,company,,0.06846578443172432,314.0,62639000000.0,15131.0,
wiki:largest_canada_companies:george-weston-limited,George Weston Limited,,company,,0.0728318690784261,290.0,62160000000.0,60000.0,
wiki:largest_us_companies_by_revenue:delta-air-lines,Delta Air Lines,USA,company,,0.07695426447045034,275.0,61643000000.0,103000.0,
wiki:largest_us_companies_by_revenue:publix-super-markets,Publix Super Markets,USA,company,,0.09191212569560155,236.0,60177000000.0,255000.0,
wiki:largest_canada_companies:loblaw-companies,Loblaw Companies,,company,,0.08741758073123458,247.0,59530000000.0,220000.0,
wiki:largest_us_companies_by_revenue:nationwide-mutual-insurance-company,Nationwide Mutual Insurance Company,USA,company,,0.06500206022081803,333.0,58646000000.0,22453.0,
wiki:largest_us_companies_by_revenue:td-synnex,TD Synnex,USA,company,,0.06515347732107975,331.0,58452000000.0,25750.0,
wiki:largest_canada_companies:royal-bank-of-canada,Royal Bank of Canada,,company,,0.0714767995434674,300.0,57340000000.0,94838.0,
wiki:largest_canada_companies:toronto-dominion-bank,Toronto Dominion Bank,,company,,0.07232945536230698,295.0,57230000000.0,103762.0,
wiki:largest_us_companies_by_revenue:united-airlines-holdings,United Airlines Holdings,USA,company,,0.07253587077739108,293.0,57063000000.0,107300.0,
wiki:largest_us_companies_by_revenue:conocophillips,ConocoPhillips,USA,company,,0.06203809181362195,346.0,56953000000.0,11800.0,
wiki:largest_us_companies_by_revenue:tjx,TJX,USA,company,,0.09968810869629106,220.0,56360000000.0,364000.0,
wiki:largest_us_companies_by_revenue:abbvie,AbbVie,USA,company,,0.06607341627718674,327.0,56334000000.0,55000.0,
wiki:largest_us_companies_by_revenue:enterprise-products-partners,Enterprise Products Partners,USA,company,,0.06082030348700124,355.0,56219000000.0,7800.0,
wiki:largest_brazil_companies:banco-do-brasil,Banco do Brasil,,company,,0.06894289370748552,311.0,55870000000.0,85953.0,
wiki:largest_us_companies_by_revenue:charter-communications,Charter Communications,USA,company,,0.06903450469924377,310.0,55085000000.0,94500.0,
wiki:largest_us_companies_by_revenue:performance-food-group,Performance Food Group,USA,company,,0.062333422829147826,345.0,54681000000.0,36815.0,
wiki:largest_us_companies_by_revenue:american-airlines-group,American Airlines Group,USA,company,,0.07231954314600779,296.0,54211000000.0,133300.0,
wiki:largest_us_companies_by_revenue:capital-one-financial,Capital One Financial,USA,company,,0.06325657709323848,342.0,53938000000.0,52600.0,
wiki:largest_australia_companies:bhp,BHP,,company,,0.06200999849396202,348.0,53817000000.0,42319.0,
wiki:largest_us_companies_by_revenue:cisco-systems,Cisco Systems,USA,company,,0.06722125943217006,323.0,53803000000.0,90400.0,
wiki:largest_spain_companies:iberdrola,Iberdrola,,company,,0.06184849391892891,350.0,53800000000.0,41000.0,
wiki:largest_us_companies_by_revenue:hp,HP,USA,company,,0.06343922957261577,339.0,53559000000.0,58000.0,
wiki:largest_us_companies_by_revenue:tyson-foods,Tyson Foods,USA,company,,0.07186819042570965,298.0,53309000000.0,138000.0,
wiki:largest_us_companies_by_revenue:oracle,Oracle,USA,company,,0.07377956480278153,287.0,52961000000.0,159000.0,
wiki:largest_us_companies_by_revenue:broadcom,Broadcom,USA,company,,0.0599543764027108,357.0,52432000000.0,37000.0,
wiki:largest_canada_companies:suncor-energy,Suncor Energy,,company,,0.057311765709559835,370.0,52206000000.0,14906.0,
wiki:largest_canada_companies:cenovus-energy,Cenovus Energy,,company,,0.05644213217899329,373.0,52204000000.0,6925.0,
wiki:largest_us_companies_by_revenue:deere,Deere,USA,company,,0.061204050720754286,354.0,51716000000.0,55524.0,
wiki:largest_brazil_companies:banco-bradesco,Banco Bradesco,,company,,0.0638596988687768,336.0,51587000000.0,81222.0,
wiki:largest_us_companies_by_revenue:nike,Nike,USA,company,,0.06331187078432152,341.0,51361000000.0,78400.0,
wiki:largest_us_companies_by_revenue:liberty-mutual-insurance-group,Liberty Mutual Insurance Group,USA,company,,0.0581437324968294,364.0,50429000000.0,40000.0,
wiki:largest_us_companies_by_revenue:plains-gp-holdings,Plains GP Holdings,USA,company,,0.05387265970815682,388.0,50073000000.0,4200.0,
wiki:largest_uk_companies:vodafone,Vodafone,,company,,0.06259932088113654,343.0,48871000000.0,96282.0,
wiki:largest_us_companies_by_revenue:usaa,USAA,USA,company,,0.055934513399776634,374.0,48560000000.0,38018.0,
wiki:largest_us_companies_by_revenue:bristol-myers-squibb,Bristol-Myers Squibb,USA,company,,0.05523128486090731,377.0,48300000000.0,34100.0,
wiki:largest_mexico_companies:am-rica-m-vil,América Móvil,,company,,0.07141606746960297,301.0,48300000000.0,183000.0,
wiki:largest_us_companies_by_revenue:ingram-micro-holding,Ingram Micro Holding,USA,company,,0.054027339205304926,387.0,47984000000.0,26125.0,
wiki:largest_brazil_companies:ra-zen,Raízen,,company,,0.055769932109716217,375.0,47721000000.0,44738.0,
wiki:largest_us_companies_by_revenue:general-dynamics,General Dynamics,USA,company,,0.06361916350069113,338.0,47716000000.0,117000.0,
wiki:largest_us_companies_by_revenue:coca-cola,Coca-Cola,USA,company,,0.05777912789231884,366.0,47061000000.0,69700.0,
wiki:largest_us_companies_by_revenue:tiaa,TIAA,USA,company,,0.05177851510213333,397.0,46946000000.0,15623.0,
wiki:largest_australia_companies:anz-bank,ANZ Bank,,company,,0.05444733661405675,384.0,46929000000.0,40343.0,
wiki:largest_us_companies_by_revenue:travelers,Travelers,USA,company,,0.05321809685897964,391.0,46423000000.0,34000.0,
wiki:largest_us_companies_by_revenue:eli-lilly,Eli Lilly,USA,company,,0.05315900424631873,392.0,45043000000.0,47000.0,
wiki:largest_spain_companies:telef-nica,Telefónica,,company,,0.05863470426074033,361.0,44470000000.0,103000.0,
wiki:largest_brazil_companies:vale,Vale,,company,,0.05425644273563982,385.0,44287000000.0,64516.0,
wiki:largest_australia_companies:woolworths,Woolworths,,company,,0.06792376145038662,319.0,43257000000.0,200364.0,
wiki:largest_canada_companies:magna-international,Magna International,,company,,0.06511087550703588,332.0,42797000000.0,179000.0,
wiki:largest_canada_companies:power-financial-corporation,Power Financial Corporation,,company,,0.04847038220999647,408.0,42380000000.0,30000.0,
wiki:largest_spain_companies:inditex,Inditex,,company,,0.06196018578903764,349.0,41270000000.0,165000.0,
wiki:largest_spain_companies:grupo-acs,Grupo ACS,,company,,0.054975430328541526,380.0,38900000000.0,124000.0,
wiki:largest_uk_companies:standard-chartered,Standard Chartered,,company,,0.050083141384135416,402.0,38292000000.0,84958.0,
wiki:largest_uk_companies:compass-group,Compass Group,,company,,0.10167937105218283,215.0,38005000000.0,562460.0,
wiki:largest_uk_companies:glaxosmithkline,GlaxoSmithKline,,company,,0.0478402561272129,410.0,37692000000.0,70212.0,
wiki:largest_brazil_companies:caixa-econ-mica-federal,Caixa Econômica Federal,,company,,0.04899278714683824,406.0,37066000000.0,86959.0,
wiki:largest_brazil_companies:vibra-energia,Vibra Energia,,company,,0.038347459560061754,449.0,35155000000.0,7777.0,
wiki:largest_australia_companies:national-australia-bank,National Australia Bank,,company,,0.04061049873100389,438.0,34450000000.0,35516.0,
wiki:largest_uk_companies:british-american-tobacco,British American Tobacco,,company,,0.04158809300827162,433.0,33907000000.0,49839.0,
wiki:largest_italy_companies:poste-italiane,Poste italiane,,company,,0.04892226722677933,407.0,33528000000.0,121033.0,
wiki:largest_australia_companies:commonwealth-bank,Commonwealth Bank,,company,,0.04055842052987048,439.0,32981000000.0,49454.0,
wiki:largest_uk_companies:centrica,Centrica,,company,,0.037361506419000004,453.0,32882000000.0,21014.0,
wiki:largest_uk_companies:linde,Linde,,company,,0.04225652829541609,429.0,32854000000.0,66323.0,
wiki:largest_italy_companies:a2a,A2A,,company,,0.027475975196984904,505.0,24365000000.0,13655.0,
wiki:largest_italy_companies:hera-group,Hera Group,,company,,0.024170042621268668,529.0,21698000000.0,9415.0,
wiki:largest_italy_companies:prysmian-group,Prysmian Group,,company,,0.021335222777417277,557.0,16941000000.0,30021.0,
wiki:largest_italy_companies:telecom-italia,Telecom Italia,,company,,0.023429984196125072,537.0,16829000000.0,50392.0,
wiki:largest_italy_companies:saras,Saras,,company,,0.017938280080313194,598.0,16655000000.0,1576.0,
wiki:largest_italy_companies:unipol,Unipol,,company,,0.01804517577780166,597.0,15759000000.0,11353.0,
wiki:largest_italy_companies:leonardo,Leonardo,,company,,0.02194667095909022,550.0,15475000000.0,50034.0,
wiki:largest_mexico_companies:fomento-econ-mico-mexicano,Fomento Económico Mexicano,,company,,0.05351157480789548,389.0,14500000000.0,350000.0,
wiki:largest_italy_companies:ferrovie-dello-stato-italiane,Ferrovie dello Stato Italiane,,company,,0.024352005564613657,524.0,14371000000.0,82998.0,
wiki:largest_italy_companies:saipem,Saipem,,company,,0.015157477012738212,631.0,11010000000.0,31394.0,
wiki:largest_italy_companies:acquirento-unico,Acquirento Unico,,company,,0.011644715213066424,649.0,10883000000.0,323.0,
wiki:largest_italy_companies:webuild,Webuild,,company,,0.012980962916997085,646.0,8501000000.0,35994.0,
